user_id,type,duration_ms,amount_usd,country,age,gender,timestamp
u001,login,1933,,CA,59,F,2026-08-09T19:54:51Z
u001,search,5596,,CA,59,F,2026-08-09T19:55:50Z
u001,view_product,5993,,CA,59,F,2026-08-09T19:56:20Z
u001,view_product,12162,,CA,59,F,2026-08-09T19:57:41Z
u001,view_product,11457,,CA,59,F,2026-08-09T19:58:05Z
u001,add_to_cart,2115,,CA,59,F,2026-08-09T19:58:51Z
u001,checkout_start,5123,,CA,59,F,2026-08-09T19:59:36Z
u001,payment,17979,65.19,CA,59,F,2026-08-09T20:00:10Z
u001,logout,705,,CA,59,F,2026-08-09T20:01:49Z
u002,login,1154,,GR,64,M,2026-08-06T16:56:42Z
u002,search,4507,,GR,64,M,2026-08-06T16:57:09Z
u002,view_product,9967,,GR,64,M,2026-08-06T16:57:38Z
u002,search,4030,,GR,64,M,2026-08-06T16:58:12Z
u002,view_product,6413,,GR,64,M,2026-08-06T16:59:29Z
u002,search,5547,,GR,64,M,2026-08-06T17:00:54Z
u002,add_to_cart,1842,,GR,64,M,2026-08-06T17:02:18Z
u002,checkout_start,3629,,GR,64,M,2026-08-06T17:02:40Z
u002,payment,9490,22.46,GR,64,M,2026-08-06T17:04:09Z
u002,logout,745,,GR,64,M,2026-08-06T17:04:48Z
u002,login,1219,,GR,64,M,2026-08-17T05:21:45Z
u002,search,3337,,GR,64,M,2026-08-17T05:23:12Z
u002,search,5980,,GR,64,M,2026-08-17T05:24:42Z
u002,search,3337,,GR,64,M,2026-08-17T05:25:30Z
u002,view_product,7453,,GR,64,M,2026-08-17T05:26:08Z
u002,view_product,9620,,GR,64,M,2026-08-17T05:26:55Z
u002,add_to_cart,1885,,GR,64,M,2026-08-17T05:27:21Z
u002,logout,589,,GR,64,M,2026-08-17T05:27:58Z
u002,login,1203,,GR,64,M,2026-08-30T10:05:23Z
u002,view_product,10660,,GR,64,M,2026-08-30T10:06:18Z
u002,search,5027,,GR,64,M,2026-08-30T10:07:40Z
u002,view_product,7453,,GR,64,M,2026-08-30T10:08:52Z
u002,add_to_cart,1343,,GR,64,M,2026-08-30T10:10:04Z
u002,logout,1014,,GR,64,M,2026-08-30T10:10:40Z
u003,login,1525,,ES,60,F,2026-08-30T15:11:52Z
u003,view_product,7904,,ES,60,F,2026-08-30T15:12:19Z
u003,view_product,7752,,ES,60,F,2026-08-30T15:13:32Z
u003,view_product,5776,,ES,60,F,2026-08-30T15:13:59Z
u003,search,4028,,ES,60,F,2026-08-30T15:14:52Z
u003,logout,730,,ES,60,F,2026-08-30T15:16:00Z
u003,login,1439,,ES,60,F,2026-08-26T13:51:52Z
u003,search,4864,,ES,60,F,2026-08-26T13:52:06Z
u003,search,3382,,ES,60,F,2026-08-26T13:52:32Z
u003,search,3838,,ES,60,F,2026-08-26T13:52:41Z
u003,add_to_cart,2204,,ES,60,F,2026-08-26T13:53:13Z
u003,checkout_start,4560,,ES,60,F,2026-08-26T13:54:07Z
u003,payment,7296,31.99,ES,60,F,2026-08-26T13:54:29Z
u003,logout,570,,ES,60,F,2026-08-26T13:55:38Z
u004,login,1492,,SN,51,M,2026-08-07T22:44:51Z
u004,search,5031,,SN,51,M,2026-08-07T22:45:28Z
u004,search,3003,,SN,51,M,2026-08-07T22:45:40Z
u004,view_product,7800,,SN,51,M,2026-08-07T22:47:00Z
u004,search,3510,,SN,51,M,2026-08-07T22:47:48Z
u004,view_product,8814,,SN,51,M,2026-08-07T22:48:36Z
u004,add_to_cart,1463,,SN,51,M,2026-08-07T22:49:15Z
u004,checkout_start,4095,,SN,51,M,2026-08-07T22:50:08Z
u004,payment,8307,48.47,SN,51,M,2026-08-07T22:51:20Z
u004,logout,803,,SN,51,M,2026-08-07T22:51:31Z
u004,login,1463,,SN,51,M,2026-08-20T00:52:16Z
u004,search,3003,,SN,51,M,2026-08-20T00:52:43Z
u004,view_product,7644,,SN,51,M,2026-08-20T00:53:00Z
u004,view_product,7956,,SN,51,M,2026-08-20T00:54:34Z
u004,view_product,7722,,SN,51,M,2026-08-20T00:54:45Z
u004,search,2691,,SN,51,M,2026-08-20T00:56:08Z
u004,logout,967,,SN,51,M,2026-08-20T00:56:18Z
u005,login,1593,,AU,52,O,2026-08-18T09:37:55Z
u005,view_product,9381,,AU,52,O,2026-08-18T09:38:03Z
u005,search,4469,,AU,52,O,2026-08-18T09:38:49Z
u005,view_product,8495,,AU,52,O,2026-08-18T09:39:04Z
u005,search,2253,,AU,52,O,2026-08-18T09:39:23Z
u005,search,2881,,AU,52,O,2026-08-18T09:40:49Z
u005,add_to_cart,2364,,AU,52,O,2026-08-18T09:41:40Z
u005,support_ticket,16805,,AU,52,O,2026-08-18T09:43:01Z
u005,logout,1005,,AU,52,O,2026-08-18T09:44:47Z
u006,login,1807,,NI,47,M,2026-08-28T14:54:11Z
u006,search,4042,,NI,47,M,2026-08-28T14:55:29Z
u006,search,4275,,NI,47,M,2026-08-28T14:55:58Z
u006,search,2760,,NI,47,M,2026-08-28T14:56:56Z
u006,search,2876,,NI,47,M,2026-08-28T14:58:21Z
u006,search,2332,,NI,47,M,2026-08-28T14:59:45Z
u006,add_to_cart,2662,,NI,47,M,2026-08-28T15:00:45Z
u006,checkout_start,6704,,NI,47,M,2026-08-28T15:01:28Z
u006,payment,7929,28.83,NI,47,M,2026-08-28T15:02:22Z
u006,support_ticket,15935,,NI,47,M,2026-08-28T15:03:18Z
u006,logout,1018,,NI,47,M,2026-08-28T15:04:51Z
u006,login,1836,,NI,47,M,2026-08-26T07:36:24Z
u006,view_product,10494,,NI,47,M,2026-08-26T07:36:51Z
u006,view_product,7151,,NI,47,M,2026-08-26T07:38:25Z
u006,search,4042,,NI,47,M,2026-08-26T07:38:35Z
u006,search,2760,,NI,47,M,2026-08-26T07:39:45Z
u006,view_product,6685,,NI,47,M,2026-08-26T07:40:08Z
u006,logout,956,,NI,47,M,2026-08-26T07:41:21Z
u007,login,1222,,HU,42,F,2026-08-27T13:18:04Z
u007,search,4032,,HU,42,F,2026-08-27T13:18:37Z
u007,search,2789,,HU,42,F,2026-08-27T13:18:50Z
u007,search,4570,,HU,42,F,2026-08-27T13:19:08Z
u007,search,3125,,HU,42,F,2026-08-27T13:19:32Z
u007,view_product,5107,,HU,42,F,2026-08-27T13:20:24Z
